"names","x"
"Account","26908650026"
"(Intercept)","177.482095257076"
"hour","-0.357163103382906"
"Peakhour","134.442632280199"
"month","-2.76322904079123"
"Humidity","-1.12475979750584"
"Dew_PointF","2.45297600852951"
"Temperature","-0.97978754725885"
